date,no_of_temp,no_of_gdb,temp_hours,gdb_hours,temp_cost,gdb_cost,labor_cost,profit,loss,net_p_l,Reason
10/20/2019,31,20,248,160,"$3,596.00 ","$1,760.00 ","$5,356.00 ",$647.00 ,($549.18),$629.00 ,"loss -> Values must be in decimal -> ($549.18)
"
10/21/2019,31,20,248,160,"$3,596.00 ","$1,760.00 ","$5,356.00 ",$806.16 ,($792.48),$534.76 ,"loss -> Values must be in decimal -> ($792.48)
"
10/22/2019,31,20,248,160,"$3,596.00 ","$1,760.00 ","$5,356.00 ",$112.60 ,($914.22),($145.31),"loss -> Values must be in decimal -> ($914.22)
net_p_l -> Values must be in decimal -> ($145.31)
"
10/23/2019,33,20,264,160,"$3,828.00 ","$1,760.00 ","$5,588.00 ",$367.05 ,($728.64),$122.60 ,"loss -> Values must be in decimal -> ($728.64)
"
10/24/2019,35,20,280,160,"$4,060.00 ","$1,760.00 ","$5,820.00 ",$109.46 ,($121.80),($379.15),"loss -> Values must be in decimal -> ($121.80)
net_p_l -> Values must be in decimal -> ($379.15)
"
10/25/2019,35,20,280,160,"$4,060.00 ","$1,760.00 ","$5,820.00 ",$416.80 ,($470.64),$407.11 ,"loss -> Values must be in decimal -> ($470.64)
"
10/26/2019,34,20,272,160,"$3,944.00 ","$1,760.00 ","$5,704.00 ",$511.81 ,($244.74),$511.81 ,"loss -> Values must be in decimal -> ($244.74)
"
10/27/2019,34,20,272,160,"$3,944.00 ","$1,760.00 ","$5,704.00 ",$759.41 ,($485.76),$759.41 ,"loss -> Values must be in decimal -> ($485.76)
"
10/28/2019,39,20,312.5,160.5,"$4,524.00 ","$1,760.00 ","$6,284.00 ",$996.45 ,($629.00),$996.45 ,"loss -> Values must be in decimal -> ($629.00)
"
10/29/2019,39,20,312,160,"$4,524.00 ","$1,760.00 ","$6,284.00 ",$996.45 ,($782.60),$656.65 ,"loss -> Values must be in decimal -> ($782.60)
"
