date,week,month,project group,project_name,shift,q#,customer,whse #,supervisor_name,work_type,product_category,size,temp_labor_hrs,gdb labor hrs,temp_labor_cost,gdb_labor_cost,total_labor_cost,units_g1,units_g5,units_q,units_p,units_other,total_units,total_gallons_done,cost_gallon,cost_unit,description_comments,chris lampe comment/notes,laurie's/intern's comments,Reason
10/14/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,0,$580.00 ,,$580.00 ,,,,,,,,$1.16 ,$1.90 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/15/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,0,$580.00 ,,$580.00 ,,,,,,,,$0.59 ,$0.65 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/16/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,18,0,$261.00 ,,$261.00 ,,,,,,,,$0.41 ,$0.41 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/17/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,56,0,$812.00 ,,$812.00 ,,,,,,,,$0.55 ,$0.55 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/18/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,8,0,$109.00 ,,$109.00 ,,,,,,,,$0.31 ,$0.42 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/21/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,16,0,$232.00 ,,$232.00 ,,,,,,,,$0.32 ,$0.97 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/22/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,16,0,$232.00 ,,$232.00 ,,,,,,,,$0.37 ,$0.37 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/23/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,24,0,$348.00 ,,$348.00 ,,,,,,,,$0.55 ,$0.55 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/24/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,29,0,$421.00 ,,$421.00 ,,,,,,,,$0.67 ,$0.67 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/25/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,18,0,$261.00 ,,$261.00 ,,,,,,,,$0.62 ,$0.62 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/28/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,0,$580.00 ,,$580.00 ,,,,,,,,$0.69 ,$0.69 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/29/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,0,$580.00 ,,$580.00 ,,,,,,,,$0.46 ,$0.46 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/30/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,27,0,$392.00 ,,$392.00 ,,,,,,,,$0.34 ,$1.02 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
10/31/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,29,0,$421.00 ,,$421.00 ,,,,,,,,$0.67 ,$0.67 ,,,,"(Projectname,Projectdate,Shift) may be repeated"
11/1/2019,WEEK4,NOV,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,0,0,,,,,,,,,,,,,,,,"(Projectname,Projectdate,Shift) may be repeated"
