DATE,WEEK,MONTH,PROJECT GROUP,PROJECT_NAME,SHIFT,Q#,CUSTOMER,WHSE #,SUPERVISOR_NAME,WORK_TYPE,PRODUCT_CATEGORY,SIZE,TEMP_LABOR_HRS,GDB LABOR HRS,TEMP_LABOR_COST,GDB_LABOR_COST,TOTAL_LABOR_COST,UNITS_G1,UNITS_G5,UNITS_Q,UNITS_P,UNITS_OTHER,TOTAL_UNITS,TOTAL_GALLONS_DONE,COST_GALLON,COST_UNIT,DESCRIPTION_COMMENTS,CHRIS LAMPE COMMENT/NOTES,LAURIE'S/INTERN'S COMMENTS
1/2/2018,week1,January,Outbound Project,Aerosol Stickering,MORNING,,,19,Amit,STICKERING,Aerosol,Aerosol,6.25,6.25,$90.63 ,$68.75 ,$159.38 ,,,,,2300,2300,,,$0.07 ,,,
1/2/2018,week1,January,GDB Value Added,10 PC tray sets,MORNING,,,19,Amit,APPLICATORS,Kit,,24,,$348.00 , $-   ,$348.00 ,,,,,576,576,,,$0.60 ,,,
1/2/2018,week1,January,GDB Value Added,10 PC tray sets,MORNING,,,19,Amit,APPLICATORS,Kit,,24,,$348.00 , $-   ,$348.00 ,,,,,576,576,,,$0.60 ,,,
1/2/2018,week1,January,Outbound Project,Aerosol Stickering,MORNING,,,19,Amit,STICKERING,Aerosol,Aerosol,22.5,3,$326.25 ,$33.00 ,$359.25 ,,,,,5200,5200,,,$0.07 ,,,
1/2/2018,week1,January,Outbound Project,Ollie's Aerosol Sorting,MORNING,,OLLIES,19,Ravi,SORTING,Aerosol,Aerosol,16,8,$232.00 ,$88.00 ,$320.00 ,,,,,4056,4056,,,$0.08 ,,,
1/2/2018,week1,January,Outbound Project,Ollie's Aerosol Sorting,MORNING,,OLLIES,19,Ravi,SORTING,Aerosol,Aerosol,16,8,$232.00 ,$88.00 ,$320.00 ,,,,,4056,4056,,,$0.08 ,,,
1/2/2018,week1,January,Outbound Project, Ollie's Aerosol Relabel  ,MORNING,,OLLIES,19,Ravi,RELABEL,Aerosol,Aerosol,4,,$58.00 , $-   ,$58.00 ,,,,,1584,1584,,,$0.04 ,,,
1/2/2018,week1,January,Outbound Project, Ollie's Aerosol Relabel  ,MORNING,,OLLIES,19,Ravi,RELABEL,Aerosol,Aerosol,4,,$58.00 , $-   ,$58.00 ,,,,,1584,1584,,,$0.04 ,,,
1/2/2018,week1,January,Outbound Project,Aerosol Cut Label,MORNING,,OLLIES,19,Ravi,CUT LABEL,Aerosol,Aerosol,12,8,$174.00 ,$88.00 ,$262.00 ,,,,,2040,2040,,,$0.13 ,,,
1/2/2018,week1,January,Outbound Project,Aerosol Cut Label,MORNING,,OLLIES,19,Ravi,CUT LABEL,Aerosol,Aerosol,12,8,$174.00 ,$88.00 ,$262.00 ,,,,,2040,2040,,,$0.13 ,,,
